id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	James	1.0551	-0.2935	2	2	98	88	4221	109.3879	1996.8409	47.9659	1.243
2	Mary	0.7492	0.2841	2	4	103	91	1994	55.0416	2011.7363	21.9121	0.6049
3	John	-0.6243	-0.7247	1	4	101	89	3178	143.3831	2017.1461	35.7079	1.611
4	Linda	-0.0722	0.0248	3	5	22	261	7177	209.8957	2010.2146	27.4981	0.8042
5	David	0.1026	0.4626	3	6	35	124	5843	199.8492	2010.7581	47.121	1.6117
6	Sarah	-0.5883	0.3511	4	6	163	228	12930	436.0204	2013.1798	56.7105	1.9124
7	Paul	-0.3409	0.7997	4	5	155	168	9850	294.1641	2012.6071	58.631	1.751
8	Karen	-0.6236	-0.1752	1	5	43	181	3733	173.188	2016.3149	20.6243	0.9568
9	Daniel	-0.1581	-0.5063	1	5	109	395	9382	344.7116	2014.1013	23.7519	0.8727
10	Emily	0.5004	-0.2224	2	6	185	431	13528	371.2338	2006.7889	31.3875	0.8613
